Frequenza (Hz),Re(S21),Im(S21)
4052962962.963,-0.717,-0.543
4053073073.073,-0.721,-0.538
4053183183.183,-0.719,-0.536
4053293293.293,-0.722,-0.537
4053403403.403,-0.723,-0.533
4053513513.514,-0.725,-0.531
4053623623.624,-0.726,-0.532
4053733733.734,-0.725,-0.528
4053843843.844,-0.726,-0.527
4053953953.954,-0.728,-0.526
4054064064.064,-0.729,-0.525
4054174174.174,-0.731,-0.520
4054284284.284,-0.732,-0.520
4054394394.394,-0.732,-0.519
4054504504.505,-0.735,-0.517
4054614614.615,-0.734,-0.514
4054724724.725,-0.737,-0.513
4054834834.835,-0.737,-0.511
4054944944.945,-0.737,-0.510
4055055055.055,-0.739,-0.508
4055165165.165,-0.741,-0.506
4055275275.275,-0.741,-0.505
4055385385.385,-0.743,-0.503
4055495495.495,-0.747,-0.504
4055605605.606,-0.746,-0.501
4055715715.716,-0.746,-0.498
4055825825.826,-0.748,-0.497
4055935935.936,-0.749,-0.497
4056046046.046,-0.749,-0.494
4056156156.156,-0.751,-0.492
4056266266.266,-0.752,-0.490
4056376376.376,-0.753,-0.490
4056486486.486,-0.753,-0.487
4056596596.597,-0.754,-0.484
4056706706.707,-0.755,-0.484
4056816816.817,-0.757,-0.481
4056926926.927,-0.758,-0.479
4057037037.037,-0.759,-0.478
4057147147.147,-0.759,-0.477
4057257257.257,-0.762,-0.475
4057367367.367,-0.762,-0.474
4057477477.477,-0.763,-0.470
4057587587.588,-0.767,-0.469
4057697697.698,-0.766,-0.468
4057807807.808,-0.765,-0.466
4057917917.918,-0.767,-0.465
4058028028.028,-0.768,-0.460
4058138138.138,-0.770,-0.461
4058248248.248,-0.768,-0.459
4058358358.358,-0.775,-0.458
4058468468.468,-0.772,-0.456
4058578578.579,-0.774,-0.453
4058688688.689,-0.774,-0.453
4058798798.799,-0.777,-0.450
4058908908.909,-0.776,-0.449
4059019019.019,-0.778,-0.449
4059129129.129,-0.778,-0.445
4059239239.239,-0.778,-0.444
4059349349.349,-0.781,-0.440
4059459459.459,-0.782,-0.441
4059569569.570,-0.780,-0.438
4059679679.680,-0.784,-0.435
4059789789.790,-0.785,-0.435
4059899899.900,-0.784,-0.433
4060010010.010,-0.786,-0.431
4060120120.120,-0.787,-0.429
4060230230.230,-0.789,-0.428
4060340340.340,-0.790,-0.425
4060450450.450,-0.788,-0.423
4060560560.561,-0.791,-0.422
4060670670.671,-0.792,-0.420
4060780780.781,-0.792,-0.418
4060890890.891,-0.797,-0.417
4061001001.001,-0.793,-0.415
4061111111.111,-0.794,-0.413
4061221221.221,-0.797,-0.412
4061331331.331,-0.796,-0.409
4061441441.441,-0.798,-0.407
4061551551.552,-0.799,-0.406
4061661661.662,-0.801,-0.405
