Time	Channel C	Channel D
(ms)	(mV)	(mV)

1.10422397	62.64839554	-90.68269348
1.10425597	62.25165176	-90.38361359
1.10428797	62.45307541	-90.68269348
1.10431997	62.95357895	-90.88412476
1.10435197	62.34931183	-90.78646088
1.10438397	62.55073547	-90.68269348
1.10441597	61.94646835	-90.98788452
1.10444797	62.25165176	-91.89122772
1.10447997	62.14789200	-91.08554077
1.10451197	62.25165176	-90.88412476
1.10454397	62.55073547	-91.39072418
1.10457597	62.84981537	-90.58503723
1.10460797	61.94646835	-91.28696442
1.10463997	62.25165176	-91.39072418
1.10467197	62.25165176	-91.59214783
1.10470397	63.15499878	-90.98788452
1.10473597	61.84881210	-91.39072418
1.10476797	61.44596481	-91.39072418
1.10479997	62.45307541	-91.48838806
1.10483197	61.24454498	-91.39072418
1.10486397	61.54973221	-91.48838806
1.10489597	61.24454498	-91.68981171
1.10492797	61.94646835	-91.89122772
1.10495997	61.44596481	-91.39072418
1.10499197	61.04922485	-92.09265137
1.10502397	61.34830856	-91.08554077
1.10505597	61.44596481	-91.89122772
1.10508797	61.14688492	-91.99499512
1.10511997	61.54973221	-91.99499512
1.10515197	61.34830856	-91.79357147
1.10518397	61.24454498	-91.39072418
1.10521597	61.34830856	-92.09265137
1.10524797	60.74404144	-91.68981171
1.10527997	62.34931183	-91.89122772
1.10531197	61.14688492	-91.79357147
1.10534397	60.94546127	-92.39784241
1.10537597	61.04922485	-91.79357147
1.10540797	61.24454498	-92.29407501
1.10543997	60.34730148	-91.99499512
1.10547197	61.34830856	-91.39072418
1.10550397	61.14688492	-91.79357147
1.10553597	60.74404144	-91.99499512
1.10556797	61.04922485	-92.49549866
1.10559997	60.84780502	-91.99499512
1.10563197	60.94546127	-92.29407501
1.10566397	60.84780502	-92.39784241
1.10569597	61.04922485	-91.99499512
1.10572797	61.24454498	-92.19641113
1.10575997	60.34730148	-91.89122772
1.10579197	60.64638138	-92.09265137
1.10582397	60.74404144	-92.29407501
1.10585597	60.74404144	-91.89122772
1.10588797	61.14688492	-93.00210571
