C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
8.428,-0.602546
8.43,-0.559419
8.432,-0.522814
8.434,-0.491794
8.436,-0.465498
8.438,-0.443171
8.44,-0.424167
8.442,-0.407942
8.444,-0.394045
8.446,-0.382099
8.448,-0.371794
8.45,-0.362872
8.452,-0.355122
8.454,-0.348366
8.456,-0.342457
8.458,-0.337273
8.46,-0.33271
8.462,-0.328683
8.464,-0.325118
8.466,-0.321954
8.468,-0.319139
8.47,-0.316629
8.472,-0.314384
8.474,-0.312372
8.476,-0.310566
8.478,-0.308941
8.48,-0.307476
8.482,-0.306152
8.484,-0.304954
8.486,-0.303868
8.488,-0.302882
8.49,-0.301984
8.492,-0.301167
8.494,-0.300421
8.496,-0.299739
8.498,-0.299114
8.5,-0.298542
C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.2
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
6.5,-0.372324
6.502,-0.372332
6.504,-0.37234
6.506,-0.372349
6.508,-0.372357
6.51,-0.372364
6.512,-0.372372
6.514,-0.372379
6.516,-0.372387
6.518,-0.372394
6.52,-0.372401
6.522,-0.372408
6.524,-0.372415
6.526,-0.372421
6.528,-0.372428
6.53,-0.372434
6.532,-0.37244
6.534,-0.372446
6.536,-0.372452
6.538,-0.372457
6.54,-0.372463
6.542,-0.372468
6.544,-0.372473
6.546,-0.372478
6.548,-0.372483
6.55,-0.372488
6.552,-0.372493
6.554,-0.372497
6.556,-0.372501
6.558,-0.372505
6.56,-0.372509
6.562,-0.372513
6.564,-0.372517
6.566,-0.37252
6.568,-0.372524
6.57,-0.372527
6.572,-0.37253
6.574,-0.372533
6.576,-0.372535
6.578,-0.372538
6.58,-0.37254
6.582,-0.372543
6.584,-0.372545
6.586,-0.372547
6.588,-0.372549
6.59,-0.37255
6.592,-0.372552
6.594,-0.372553
6.596,-0.372554
6.598,-0.372555
6.6,-0.372556
6.602,-0.372557
6.604,-0.372558
6.606,-0.372558
6.608,-0.372558
6.61,-0.372559
6.612,-0.372559
6.614,-0.372558
6.616,-0.372558
6.618,-0.372558
6.62,-0.372557
6.622,-0.372556
6.624,-0.372555
6.626,-0.372554
6.628,-0.372553
6.63,-0.372552
6.632,-0.37255
6.634,-0.372548
6.636,-0.372547
6.638,-0.372545
6.64,-0.372542
6.642,-0.37254
6.644,-0.372538
6.646,-0.372535
6.648,-0.372532
6.65,-0.37253
6.652,-0.372526
6.654,-0.372523
6.656,-0.37252
6.658,-0.372516
6.66,-0.372513
6.662,-0.372509
6.664,-0.372505
6.666,-0.372501
6.668,-0.372497
6.67,-0.372492
6.672,-0.372488
6.674,-0.372483
6.676,-0.372478
6.678,-0.372473
6.68,-0.372468
6.682,-0.372463
6.684,-0.372457
6.686,-0.372452
6.688,-0.372446
6.69,-0.37244
6.692,-0.372434
6.694,-0.372428
6.696,-0.372421
6.698,-0.372415
6.7,-0.372408
6.702,-0.372401
6.704,-0.372395
6.706,-0.372387
6.708,-0.37238
6.71,-0.372373
6.712,-0.372365
6.714,-0.372357
6.716,-0.37235
6.718,-0.372342
6.72,-0.372333
6.722,-0.372325
6.724,-0.372317
6.726,-0.372308
6.728,-0.372299
6.73,-0.37229
6.732,-0.372281
6.734,-0.372272
6.736,-0.372263
6.738,-0.372253
6.74,-0.372244
6.742,-0.372234
6.744,-0.372224
6.746,-0.372214
6.748,-0.372204
6.75,-0.372193
6.752,-0.372183
6.754,-0.372172
6.756,-0.372161
6.758,-0.37215
6.76,-0.372139
6.762,-0.372128
6.764,-0.372116
6.766,-0.372105
6.768,-0.372093
6.77,-0.372081
6.772,-0.372069
6.774,-0.372057
6.776,-0.372045
6.778,-0.372032
6.78,-0.37202
6.782,-0.372007
6.784,-0.371994
6.786,-0.371981
6.788,-0.371968
6.79,-0.371954
6.792,-0.371941
6.794,-0.371927
6.796,-0.371913
6.798,-0.371899
6.8,-0.371885
6.802,-0.371871
6.804,-0.371857
6.806,-0.371842
6.808,-0.371828
6.81,-0.371813
6.812,-0.371798
6.814,-0.371783
6.816,-0.371767
6.818,-0.371752
6.82,-0.371736
6.822,-0.371721
6.824,-0.371705
6.826,-0.371689
6.828,-0.371673
6.83,-0.371656
6.832,-0.37164
6.834,-0.371623
6.836,-0.371607
6.838,-0.37159
6.84,-0.371573
6.842,-0.371556
6.844,-0.371538
6.846,-0.371521
6.848,-0.371503
6.85,-0.371485
6.852,-0.371467
6.854,-0.371449
6.856,-0.371431
6.858,-0.371413
6.86,-0.371394
6.862,-0.371376
6.864,-0.371357
6.866,-0.371338
6.868,-0.371319
6.87,-0.3713
6.872,-0.37128
6.874,-0.371261
6.876,-0.371241
6.878,-0.371222
6.88,-0.371202
6.882,-0.371181
6.884,-0.371161
6.886,-0.371141
6.888,-0.37112
6.89,-0.3711
6.892,-0.371079
6.894,-0.371058
6.896,-0.371037
6.898,-0.371016
6.9,-0.370994
6.902,-0.370973
6.904,-0.370951
6.906,-0.370929
6.908,-0.370907
6.91,-0.370885
6.912,-0.370863
6.914,-0.370841
6.916,-0.370818
6.918,-0.370795
6.92,-0.370773
6.922,-0.37075
6.924,-0.370726
6.926,-0.370703
6.928,-0.37068
6.93,-0.370656
6.932,-0.370633
6.934,-0.370609
6.936,-0.370585
6.938,-0.370561
6.94,-0.370537
6.942,-0.370512
6.944,-0.370488
6.946,-0.370463
6.948,-0.370438
6.95,-0.370413
6.952,-0.370388
6.954,-0.370363
6.956,-0.370337
6.958,-0.370312
6.96,-0.370286
6.962,-0.37026
6.964,-0.370234
6.966,-0.370208
6.968,-0.370182
6.97,-0.370156
6.972,-0.370129
6.974,-0.370103
6.976,-0.370076
6.978,-0.370049
