C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_sonnet_new.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_sonnet_new
14.3292,-0.83532
14.33,-0.835474
14.332,-0.835885
14.3339,-0.8363
14.334,-0.836318
14.336,-0.836773
14.338,-0.837252
14.3385,-0.837377
14.34,-0.837755
14.342,-0.838283
14.343,-0.838553
14.344,-0.838836
14.346,-0.839417
14.3474,-0.839831
14.348,-0.840025
14.35,-0.840662
14.3517,-0.841211
14.352,-0.841329
14.354,-0.842027
14.3558,-0.842695
14.356,-0.842757
14.358,-0.843521
14.3599,-0.844286
14.36,-0.844319
14.362,-0.845153
14.3639,-0.845985
14.364,-0.846024
14.366,-0.846934
14.3678,-0.847795
14.368,-0.847885
14.37,-0.848878
14.3716,-0.849717
14.372,-0.849915
14.374,-0.850997
14.3754,-0.851755
14.376,-0.852127
14.378,-0.853307
14.379,-0.853909
14.38,-0.854538
14.382,-0.855823
14.3825,-0.856184
14.384,-0.857165
14.386,-0.858566
14.386,-0.85858
14.388,-0.860028
14.3894,-0.861101
14.39,-0.861555
14.392,-0.863149
14.3927,-0.86375
14.394,-0.864814
14.396,-0.866528
14.396,-0.866553
14.398,-0.868369
14.3991,-0.86944
14.4,-0.870267
14.402,-0.87225
14.4022,-0.872487
14.404,-0.874323
14.4053,-0.875673
14.406,-0.87649
14.408,-0.878756
14.4082,-0.879001
14.41,-0.881127
14.4111,-0.882473
14.412,-0.883607
14.4139,-0.886093
14.414,-0.886203
14.416,-0.888921
14.4167,-0.889864
14.418,-0.891768
14.4194,-0.893789
14.42,-0.894751
14.422,-0.897871
14.422,-0.897878
14.424,-0.901157
14.4246,-0.902114
14.426,-0.904598
14.4271,-0.906521
14.428,-0.908208
14.4295,-0.911094
14.43,-0.912
14.4319,-0.915839
14.432,-0.915983
14.434,-0.920171
14.4343,-0.920756
14.436,-0.924575
14.4366,-0.925851
14.438,-0.92921
14.4388,-0.931126
14.44,-0.93409
14.441,-0.936584
14.442,-0.939233
14.4431,-0.942228
14.444,-0.944654
14.4452,-0.948062
14.446,-0.950373
14.4472,-0.954088
14.448,-0.956411
14.4492,-0.960309
14.45,-0.96279
14.4512,-0.966728
14.452,-0.969534
14.4531,-0.973347
14.454,-0.976668
14.4549,-0.980169
14.456,-0.984222
14.4568,-0.987195
14.458,-0.992226
14.4585,-0.994429
14.46,-1.00071
14.4603,-1.00187
14.462,-1.00952
14.462,-1.00972
14.4636,-1.01739
14.464,-1.01929
14.4652,-1.02546
14.466,-1.02945
14.4668,-1.03375
14.468,-1.04027
14.4684,-1.04225
14.4699,-1.05096
14.47,-1.05179
14.4713,-1.05988
14.472,-1.06406
14.4728,-1.06902
14.474,-1.07714
14.4742,-1.07836
14.4756,-1.08791
14.476,-1.0911
14.4769,-1.09767
14.478,-1.106
14.4782,-1.10763
14.4795,-1.11778
14.48,-1.12192
14.4807,-1.12813
14.482,-1.13867
14.482,-1.13893
14.4832,-1.14939
14.484,-1.15712
14.4843,-1.16029
14.4855,-1.17135
14.486,-1.17657
14.4866,-1.18259
14.4877,-1.19397
14.488,-1.19736
14.4887,-1.20551
14.4898,-1.21718
14.49,-1.21959
