Freq	I	Q
7.990435000000000000e+09	1.162364649999999937e-02	-7.218832799999999952e-03
7.990440000000000000e+09	1.159452220000000040e-02	-7.249653800000000273e-03
7.990445000000000000e+09	1.158220710000000021e-02	-7.288063099999999607e-03
7.990450000000000000e+09	1.154985170000000054e-02	-7.310400699999999689e-03
7.990455000000000000e+09	1.152169899999999983e-02	-7.344771499999999675e-03
7.990460000000000000e+09	1.149244940000000020e-02	-7.366040699999999719e-03
7.990465000000000000e+09	1.146534079999999949e-02	-7.365282199999999974e-03
7.990470000000000000e+09	1.142130690000000073e-02	-7.412464799999999958e-03
7.990475000000000000e+09	1.140395270000000086e-02	-7.425632799999999992e-03
7.990480000000000000e+09	1.137232460000000070e-02	-7.470258300000000122e-03
7.990485000000000000e+09	1.134558530000000058e-02	-7.496728999999999719e-03
7.990490000000000000e+09	1.134014539999999953e-02	-7.488716200000000364e-03
7.990495000000000000e+09	1.129075080000000071e-02	-7.532392599999999938e-03
7.990500000000000000e+09	1.125831669999999979e-02	-7.556392000000000317e-03
7.990505000000000000e+09	1.125743100000000003e-02	-7.580839600000000011e-03
7.990510000000000000e+09	1.119806549999999984e-02	-7.591828899999999991e-03
7.990515000000000000e+09	1.120073689999999920e-02	-7.620971399999999958e-03
7.990520000000000000e+09	1.116627300000000086e-02	-7.644938999999999901e-03
7.990525000000000000e+09	1.111794219999999965e-02	-7.681370899999999738e-03
7.990530000000000000e+09	1.109365179999999979e-02	-7.668462899999999895e-03
7.990535000000000000e+09	1.106191590000000016e-02	-7.729569700000000175e-03
7.990540000000000000e+09	1.102413520000000008e-02	-7.740477299999999616e-03
7.990545000000000000e+09	1.098679089999999962e-02	-7.751639900000000145e-03
7.990550000000000000e+09	1.095428499999999937e-02	-7.785514399999999592e-03
7.990555000000000000e+09	1.095697269999999952e-02	-7.789173600000000135e-03
7.990560000000000000e+09	1.091305719999999951e-02	-7.814364199999999927e-03
7.990565000000000000e+09	1.090133949999999921e-02	-7.831967400000000579e-03
7.990570000000000000e+09	1.087861530000000000e-02	-7.880432999999999188e-03
7.990575000000000000e+09	1.082015799999999986e-02	-7.875340600000000843e-03
7.990580000000000000e+09	1.079093440000000043e-02	-7.905862300000000148e-03
7.990585000000000000e+09	1.077926339999999913e-02	-7.938496899999999620e-03
7.990590000000000000e+09	1.073263609999999986e-02	-7.948174000000000558e-03
7.990595000000000000e+09	1.073048180000000032e-02	-7.978998600000000371e-03
7.990600000000000000e+09	1.069681830000000083e-02	-7.978636199999999956e-03
7.990605000000000000e+09	1.063964379999999925e-02	-8.017355000000000315e-03
7.990610000000000000e+09	1.061941599999999958e-02	-8.027820800000000021e-03
7.990615000000000000e+09	1.056334779999999925e-02	-8.060804399999999675e-03
7.990620000000000000e+09	1.055072720000000026e-02	-8.102202500000000793e-03
7.990625000000000000e+09	1.053621889999999985e-02	-8.090817499999999884e-03
7.990630000000000000e+09	1.050622759999999926e-02	-8.120285799999999929e-03
7.990635000000000000e+09	1.046317020000000000e-02	-8.137814900000000032e-03
7.990640000000000000e+09	1.042546339999999953e-02	-8.153398299999999738e-03
7.990645000000000000e+09	1.041014600000000033e-02	-8.163420500000000829e-03
7.990650000000000000e+09	1.037362279999999928e-02	-8.192827099999999349e-03
7.990655000000000000e+09	1.033909769999999916e-02	-8.218906300000000317e-03
7.990660000000000000e+09	1.031961999999999983e-02	-8.227927899999999337e-03
7.990665000000000000e+09	1.026941619999999916e-02	-8.274830000000000380e-03
7.990670000000000000e+09	1.023323010000000075e-02	-8.280418899999999333e-03
7.990675000000000000e+09	1.018985409999999953e-02	-8.313514200000000215e-03
7.990680000000000000e+09	1.019441979999999998e-02	-8.321718100000000118e-03
7.990685000000000000e+09	1.015729920000000078e-02	-8.336353399999999608e-03
7.990690000000000000e+09	1.010626310000000035e-02	-8.382816700000000204e-03
7.990695000000000000e+09	1.005756460000000081e-02	-8.382038300000000178e-03
