Freq	I	Q
5.187200000000000000e+09	2.194192520000000021e-02	-1.475903639999999982e-02
5.188175000000000000e+09	1.533044719999999972e-02	-2.153121319999999964e-02
5.189150000000000000e+09	6.785662599999999801e-03	-2.551528549999999840e-02
5.190125000000000000e+09	-2.614883799999999977e-03	-2.628145360000000083e-02
5.191100000000000000e+09	-1.165324759999999960e-02	-2.364991660000000107e-02
5.192075000000000000e+09	-1.922263609999999914e-02	-1.806359390000000092e-02
5.193050000000000000e+09	-2.430742530000000109e-02	-1.018908020000000060e-02
5.194025000000000000e+09	-2.632444940000000164e-02	-1.036341899999999958e-03
5.195000000000000000e+09	-2.498078919999999897e-02	8.272046899999999786e-03
5.195975000000000000e+09	-2.052973849999999850e-02	1.650559529999999844e-02
5.196950000000000000e+09	-1.346285969999999957e-02	2.267831039999999854e-02
5.197925000000000000e+09	-4.638247199999999924e-03	2.596558880000000152e-02
5.198900000000000000e+09	4.767423100000000268e-03	2.598455360000000158e-02
5.199875000000000000e+09	1.360529150000000000e-02	2.268778070000000008e-02
5.200850000000000000e+09	2.071689300000000011e-02	1.645420809999999928e-02
5.201825000000000000e+09	2.525472650000000138e-02	8.120960300000000520e-03
5.202800000000000000e+09	2.650459020000000068e-02	-1.274665199999999981e-03
5.203775000000000000e+09	2.433008489999999996e-02	-1.051566479999999949e-02
5.204750000000000000e+09	1.908674029999999841e-02	-1.843150010000000130e-02
5.205725000000000000e+09	1.136413510000000050e-02	-2.395428510000000011e-02
5.206700000000000000e+09	2.170819000000000047e-03	-2.640704990000000002e-02
5.207675000000000000e+09	-7.266111500000000181e-03	-2.548016100000000117e-02
5.208650000000000000e+09	-1.576288240000000077e-02	-2.124905859999999883e-02
5.209625000000000000e+09	-2.218865919999999867e-02	-1.429678319999999961e-02
5.210600000000000000e+09	-2.575961129999999877e-02	-5.566337499999999931e-03
5.211575000000000000e+09	-2.602143380000000034e-02	3.836076500000000066e-03
5.212550000000000000e+09	-2.296759569999999931e-02	1.269626909999999921e-02
5.213525000000000000e+09	-1.701143030000000153e-02	1.990551249999999994e-02
5.214500000000000000e+09	-8.940494099999999819e-03	2.455061689999999894e-02
5.215475000000000000e+09	2.394366000000000040e-04	2.607152210000000109e-02
5.216450000000000000e+09	9.323475300000000007e-03	2.432062449999999876e-02
