C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\Photon_count_2_V5_2D_mod.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_mod
14.375,-0.0735868
14.4,-0.0737851
14.425,-0.073984
14.45,-0.0741837
14.475,-0.0743839
14.5,-0.0745848
14.525,-0.0747864
14.55,-0.0749886
14.575,-0.0751914
14.6,-0.0753948
14.625,-0.0755988
14.65,-0.0758035
14.675,-0.0760087
14.7,-0.0762145
14.725,-0.0764209
14.75,-0.0766279
14.775,-0.0768353
14.8,-0.0770434
14.825,-0.0772519
14.85,-0.0774609
14.875,-0.0776705
14.9,-0.0778805
14.925,-0.078091
14.95,-0.0783019
14.975,-0.0785132
15,-0.0787253
C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\Photon_count_2_V5_2D_mod.son DE_EMBEDDED Lk=16.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_mod
6,-0.0258557
6.0025,-0.0258692
6.005,-0.0258825
6.0075,-0.0258957
6.01,-0.0259089
6.0125,-0.0259221
6.015,-0.0259353
6.0175,-0.0259485
6.02,-0.0259617
6.0225,-0.0259749
6.025,-0.0259881
6.0275,-0.0260013
6.03,-0.0260145
6.0325,-0.0260277
6.035,-0.0260409
6.0375,-0.0260541
6.04,-0.0260673
6.0425,-0.0260805
6.045,-0.0260937
6.0475,-0.0261069
6.05,-0.0261201
6.0525,-0.0261333
6.055,-0.0261465
6.0575,-0.0261597
6.06,-0.0261729
6.0625,-0.0261861
6.065,-0.0261993
6.0675,-0.0262125
6.07,-0.0262257
6.0725,-0.0262389
6.075,-0.0262521
6.0775,-0.0262653
6.08,-0.0262785
6.0825,-0.0262917
6.085,-0.0263049
6.0875,-0.026318
6.09,-0.0263312
6.0925,-0.0263444
6.095,-0.0263576
6.0975,-0.0263709
6.1,-0.0263841
6.1025,-0.0263973
6.105,-0.0264105
6.1075,-0.0264237
6.11,-0.0264369
6.1125,-0.0264501
6.115,-0.0264633
6.1175,-0.0264765
6.12,-0.0264897
6.1225,-0.0265029
6.125,-0.0265161
6.1275,-0.0265293
6.13,-0.0265425
6.1325,-0.0265558
