C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P5_2PORT
16.6265,-0.498184
16.627,-0.498076
16.6275,-0.497968
16.628,-0.497859
16.6285,-0.497751
16.629,-0.497643
16.6295,-0.497535
16.63,-0.497428
16.6305,-0.49732
16.631,-0.497213
16.6315,-0.497105
16.632,-0.496998
16.6325,-0.496891
16.633,-0.496784
16.6335,-0.496677
16.634,-0.49657
16.6345,-0.496463
16.635,-0.496356
16.6355,-0.49625
16.636,-0.496143
16.6365,-0.496037
16.637,-0.495931
16.6375,-0.495825
16.638,-0.495718
16.6385,-0.495612
16.639,-0.495507
16.6395,-0.495401
16.64,-0.495295
16.6405,-0.495189
16.641,-0.495084
16.6415,-0.494978
16.642,-0.494873
16.6425,-0.494768
16.643,-0.494663
16.6435,-0.494557
16.644,-0.494452
16.6445,-0.494347
16.645,-0.494242
16.6455,-0.494138
16.646,-0.494033
16.6465,-0.493928
16.647,-0.493824
16.6475,-0.493719
16.648,-0.493614
16.6485,-0.49351
16.649,-0.493406
16.6495,-0.493301
16.65,-0.493197
16.6505,-0.493093
16.651,-0.492989
16.6515,-0.492885
16.652,-0.492781
16.6525,-0.492677
16.653,-0.492573
16.6535,-0.49247
16.654,-0.492366
16.6545,-0.492262
16.655,-0.492159
16.6555,-0.492055
16.656,-0.491951
16.6565,-0.491848
16.657,-0.491745
16.6575,-0.491641
16.658,-0.491538
16.6585,-0.491435
16.659,-0.491332
16.6595,-0.491228
16.66,-0.491125
16.6605,-0.491022
16.661,-0.490919
16.6615,-0.490816
16.662,-0.490713
16.6625,-0.490611
16.663,-0.490508
16.6635,-0.490405
16.664,-0.490302
16.6645,-0.4902
16.665,-0.490097
16.6655,-0.489994
16.666,-0.489892
16.6665,-0.489789
16.667,-0.489687
16.6675,-0.489584
16.668,-0.489482
16.6685,-0.48938
16.669,-0.489277
16.6695,-0.489175
16.67,-0.489073
16.6705,-0.488971
16.671,-0.488868
16.6715,-0.488766
16.672,-0.488664
16.6725,-0.488562
16.673,-0.48846
16.6735,-0.488358
16.674,-0.488256
16.6745,-0.488154
16.675,-0.488052
16.6755,-0.48795
16.676,-0.487849
16.6765,-0.487747
16.677,-0.487645
16.6775,-0.487543
16.678,-0.487441
16.6785,-0.48734
16.679,-0.487238
16.6795,-0.487136
16.68,-0.487035
16.6805,-0.486933
16.681,-0.486832
16.6815,-0.48673
16.682,-0.486629
16.6825,-0.486527
16.683,-0.486426
16.6835,-0.486324
16.684,-0.486223
16.6845,-0.486121
16.685,-0.48602
16.6855,-0.485919
16.686,-0.485817
16.6865,-0.485716
16.687,-0.485615
16.6875,-0.485514
16.688,-0.485412
16.6885,-0.485311
16.689,-0.48521
16.6895,-0.485109
16.69,-0.485008
16.6905,-0.484906
16.691,-0.484805
16.6915,-0.484704
16.692,-0.484603
16.6925,-0.484502
16.693,-0.484401
16.6935,-0.4843
16.694,-0.484199
16.6945,-0.484098
16.695,-0.483997
16.6955,-0.483896
16.696,-0.483795
16.6965,-0.483694
16.697,-0.483594
16.6975,-0.483493
16.698,-0.483392
16.6985,-0.483291
16.699,-0.48319
16.6995,-0.483089
16.7,-0.482988
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_2PORT.son DE_EMBEDDED Lk=13.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P5_2PORT
8.1548,-0.241707
8.155,-0.241703
8.156,-0.241681
8.157,-0.241659
8.158,-0.241637
8.159,-0.241615
8.16,-0.241593
8.161,-0.241571
8.162,-0.241549
8.163,-0.241527
8.164,-0.241505
8.165,-0.241483
8.166,-0.241461
8.167,-0.241439
8.168,-0.241417
8.169,-0.241395
8.17,-0.241372
8.171,-0.24135
8.172,-0.241328
8.173,-0.241306
8.174,-0.241284
8.175,-0.241261
8.176,-0.241239
8.177,-0.241217
8.178,-0.241194
8.179,-0.241172
8.18,-0.24115
8.181,-0.241127
8.182,-0.241105
8.183,-0.241083
8.184,-0.24106
8.185,-0.241038
8.186,-0.241015
8.187,-0.240993
8.188,-0.24097
8.189,-0.240948
8.19,-0.240925
8.191,-0.240903
8.192,-0.24088
8.193,-0.240858
8.194,-0.240835
8.195,-0.240812
8.196,-0.24079
8.197,-0.240767
8.198,-0.240745
8.199,-0.240722
8.2,-0.240699
8.201,-0.240676
8.202,-0.240654
8.203,-0.240631
8.204,-0.240608
8.205,-0.240585
8.206,-0.240563
8.207,-0.24054
8.208,-0.240517
8.209,-0.240494
8.21,-0.240471
8.211,-0.240448
8.212,-0.240426
8.213,-0.240403
8.214,-0.24038
8.215,-0.240357
8.216,-0.240334
8.217,-0.240311
8.218,-0.240288
8.219,-0.240265
8.22,-0.240242
8.221,-0.240219
8.222,-0.240196
8.223,-0.240173
8.224,-0.24015
8.225,-0.240127
8.226,-0.240103
8.227,-0.24008
8.228,-0.240057
8.229,-0.240034
8.23,-0.240011
8.231,-0.239988
8.232,-0.239964
8.233,-0.239941
8.234,-0.239918
8.235,-0.239895
8.236,-0.239871
8.237,-0.239848
8.238,-0.239825
8.239,-0.239802
8.24,-0.239778
8.241,-0.239755
8.242,-0.239732
8.243,-0.239708
8.244,-0.239685
8.245,-0.239661
8.246,-0.239638
8.247,-0.239614
8.248,-0.239591
8.249,-0.239568
8.25,-0.239544
8.251,-0.239521
8.252,-0.239497
8.253,-0.239473
8.254,-0.23945
8.255,-0.239426
8.256,-0.239403
8.257,-0.239379
8.258,-0.239356
8.259,-0.239332
8.26,-0.239308
8.261,-0.239285
8.262,-0.239261
8.263,-0.239237
8.264,-0.239214
8.265,-0.23919
8.266,-0.239166
8.267,-0.239142
8.268,-0.239119
8.269,-0.239095
8.27,-0.239071
8.271,-0.239047
8.272,-0.239024
8.273,-0.239
8.274,-0.238976
8.275,-0.238952
8.276,-0.238928
8.277,-0.238904
8.278,-0.23888
8.279,-0.238856
8.28,-0.238832
8.281,-0.238809
8.282,-0.238785
8.283,-0.238761
8.284,-0.238737
8.285,-0.238713
8.286,-0.238689
8.287,-0.238665
8.288,-0.23864
8.289,-0.238616
8.29,-0.238592
8.291,-0.238568
8.292,-0.238544
8.293,-0.23852
8.294,-0.238496
8.295,-0.238472
8.296,-0.238448
8.297,-0.238423
8.298,-0.238399
8.299,-0.238375
8.3,-0.238351
8.301,-0.238327
8.302,-0.238302
8.303,-0.238278
8.304,-0.238254
8.305,-0.23823
8.306,-0.238205
8.307,-0.238181
8.308,-0.238157
8.309,-0.238132
8.31,-0.238108
8.311,-0.238084
8.312,-0.238059
8.313,-0.238035
8.314,-0.238011
8.315,-0.237986
8.316,-0.237962
8.317,-0.237937
8.318,-0.237913
8.319,-0.237888
8.32,-0.237864
8.321,-0.237839
8.322,-0.237815
8.323,-0.23779
8.324,-0.237766
8.325,-0.237741
8.326,-0.237717
8.327,-0.237692
8.328,-0.237668
8.329,-0.237643
8.33,-0.237619
8.331,-0.237594
8.332,-0.237569
8.333,-0.237545
8.334,-0.23752
8.335,-0.237495
8.336,-0.237471
8.337,-0.237446
8.338,-0.237421
8.339,-0.237397
8.34,-0.237372
8.341,-0.237347
8.342,-0.237323
8.343,-0.237298
8.344,-0.237273
8.345,-0.237248
8.346,-0.237223
8.347,-0.237199
8.348,-0.237174
8.349,-0.237149
8.35,-0.237124
8.351,-0.237099
8.352,-0.237075
8.353,-0.23705
8.354,-0.237025
8.355,-0.237
8.356,-0.236975
8.357,-0.23695
8.358,-0.236925
8.359,-0.2369
8.36,-0.236875
8.361,-0.23685
8.362,-0.236825
8.363,-0.236801
8.364,-0.236776
8.365,-0.236751
8.366,-0.236726
8.367,-0.236701
8.368,-0.236676
8.369,-0.236651
8.37,-0.236625
8.371,-0.2366
8.372,-0.236575
8.373,-0.23655
8.374,-0.236525
8.375,-0.2365
8.376,-0.236475
8.377,-0.23645
8.378,-0.236425
8.379,-0.2364
8.38,-0.236375
8.381,-0.236349
8.382,-0.236324
8.383,-0.236299
8.384,-0.236274
8.385,-0.236249
8.386,-0.236224
8.387,-0.236198
8.388,-0.236173
8.389,-0.236148
8.39,-0.236123
8.391,-0.236097
8.392,-0.236072
8.393,-0.236047
8.394,-0.236022
8.395,-0.235996
8.396,-0.235971
8.397,-0.235946
8.398,-0.235921
8.399,-0.235895
8.4,-0.23587
8.401,-0.235845
8.402,-0.235819
8.403,-0.235794
8.404,-0.235769
8.405,-0.235743
8.406,-0.235718
8.407,-0.235692
8.408,-0.235667
8.409,-0.235642
8.41,-0.235616
8.411,-0.235591
8.412,-0.235566
8.413,-0.23554
8.414,-0.235515
8.415,-0.235489
8.416,-0.235464
8.417,-0.235438
8.418,-0.235413
8.419,-0.235387
8.42,-0.235362
8.421,-0.235337
8.422,-0.235311
8.423,-0.235286
8.424,-0.23526
8.425,-0.235235
8.426,-0.235209
8.427,-0.235184
8.428,-0.235158
8.429,-0.235133
8.43,-0.235107
8.431,-0.235082
