C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=13.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
7.747,-0.294791
7.74781,-0.296158
7.748,-0.296485
7.749,-0.298242
7.74941,-0.298974
7.75,-0.300065
7.75097,-0.301891
7.751,-0.301958
7.752,-0.303924
7.75249,-0.304914
7.753,-0.305967
7.75398,-0.308044
7.754,-0.308091
7.755,-0.310301
7.75543,-0.311286
7.756,-0.312601
7.75685,-0.314642
7.757,-0.314997
7.758,-0.317493
7.75824,-0.318116
7.759,-0.320095
7.7596,-0.321712
7.76,-0.322811
7.76093,-0.325432
7.761,-0.325645
7.762,-0.328606
7.76222,-0.329281
7.763,-0.331701
7.76349,-0.333262
7.764,-0.334938
7.76472,-0.337379
7.765,-0.338327
7.76593,-0.341634
7.766,-0.341875
7.767,-0.345595
7.76711,-0.346031
7.768,-0.349497
7.76827,-0.350575
7.769,-0.353592
7.7694,-0.355268
7.77,-0.357895
7.7705,-0.360114
7.771,-0.362418
7.77157,-0.365116
7.772,-0.367177
7.77262,-0.370277
7.773,-0.372188
7.77365,-0.375601
7.774,-0.377469
7.77466,-0.381091
7.775,-0.38304
7.77564,-0.38675
7.776,-0.38892
7.7766,-0.39258
7.777,-0.395133
7.77753,-0.398585
7.778,-0.401704
7.77845,-0.404767
7.779,-0.408659
7.77934,-0.411128
7.78,-0.416027
7.78022,-0.41767
7.781,-0.423841
7.78107,-0.424395
7.7819,-0.431305
7.782,-0.432133
7.78272,-0.438401
7.783,-0.440942
7.78351,-0.445684
7.784,-0.450309
7.78429,-0.453155
7.785,-0.460277
7.78505,-0.460814
7.78579,-0.468661
7.786,-0.470893
7.78652,-0.476696
7.787,-0.482211
7.78723,-0.484917
7.78792,-0.493323
7.788,-0.494285
7.7886,-0.501913
7.789,-0.507174
7.78926,-0.510683
7.78991,-0.519632
7.79,-0.520945
7.79054,-0.528756
7.791,-0.535664
7.79116,-0.538051
7.79176,-0.547513
7.792,-0.551404
7.79235,-0.557136
7.79292,-0.566916
7.793,-0.568242
7.79349,-0.576845
7.794,-0.586255
7.79404,-0.586918
7.79457,-0.597127
7.795,-0.605523
7.7951,-0.607465
7.79561,-0.617923
7.796,-0.626127
7.79611,-0.628492
7.7966,-0.639162
7.797,-0.648143
7.79708,-0.649926
7.79755,-0.660771
7.798,-0.671642
7.798,-0.671687
7.79845,-0.682664
7.79888,-0.69369
7.799,-0.696682
