# Time(us)	Voltage(mV)
286.944000	276.650288
287.920000	292.519913
288.896000	290.688803
289.872000	286.416211
290.848000	287.942137
291.824000	298.013245
292.800000	288.552507
293.776000	263.374737
294.752000	265.511032
295.728000	254.066591
296.704000	228.125858
297.680000	215.155492
298.656000	199.896237
299.632000	181.585131
300.608000	141.911069
301.584000	125.278481
302.560000	94.302194
303.536000	87.740715
304.512000	61.799982
305.488000	32.044435
306.464000	8.392590
307.440000	2.441481
308.416000	-49.745170
309.392000	-56.154057
310.368000	-83.925901
311.344000	-104.068117
312.320000	-136.265145
313.296000	-166.325877
314.272000	-168.919950
315.248000	-178.075503
316.224000	-175.023652
317.200000	-210.730308
318.176000	-213.019196
319.152000	-214.697714
320.128000	-210.272530
321.104000	-223.090304
322.080000	-223.395489
323.056000	-219.885861
324.032000	-207.983642
325.008000	-229.499191
325.984000	-214.697714
326.960000	-194.402905
327.936000	-200.048830
328.912000	-172.582171
329.888000	-170.140690
330.864000	-144.505142
331.840000	-149.082919
332.816000	-122.226630
333.792000	-112.002930
334.768000	-88.656270
335.744000	-64.546648
336.720000	-50.508133
337.696000	-33.265175
338.672000	-18.921476
339.648000	-8.239998
340.624000	20.599994
341.600000	34.333323
342.576000	52.339244
343.552000	68.666646
344.528000	66.682943
345.504000	89.877010
346.480000	105.441450
347.456000	101.626637
348.432000	122.074038
349.408000	117.801447
350.384000	130.161443
351.360000	140.385144
352.336000	159.611805
353.312000	154.576250
354.288000	132.755516
355.264000	139.011811
356.240000	138.248848
357.216000	140.079958
358.192000	153.965880
359.168000	125.278481
360.144000	106.814783
361.120000	101.626637
362.096000	91.555528
363.072000	96.438490
364.048000	95.370342
365.024000	66.988128
366.000000	58.900723
366.976000	40.437025
367.952000	42.420728
368.928000	33.722953
369.904000	17.853328
370.880000	22.583697
371.856000	7.629627
372.832000	-20.599994
373.808000	-30.823695
374.784000	-39.826655
375.760000	-44.862209
376.736000	-65.919980
377.712000	-72.481460
378.688000	-80.721458
379.664000	-95.370342
380.640000	-92.013306
381.616000	-75.838496
382.592000	-74.770348
383.568000	-92.318491
384.544000	-112.613300
385.520000	-102.999969
386.496000	-102.389599
387.472000	-98.727378
388.448000	-93.081454
389.424000	-106.051820
