C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
7.95949,-0.433489
7.9595,-0.433473
7.95951,-0.433457
7.95953,-0.43344
7.95954,-0.433424
7.95955,-0.433408
7.95956,-0.433391
7.95957,-0.433375
7.95958,-0.433359
7.95959,-0.433343
7.9596,-0.433327
7.95961,-0.433311
7.95962,-0.433295
7.95963,-0.43328
7.95964,-0.433264
7.95964,-0.433249
7.95965,-0.433234
7.95966,-0.433218
7.95967,-0.433203
7.95968,-0.433189
7.95968,-0.433174
7.95969,-0.43316
7.9597,-0.433145
7.95971,-0.433131
7.95971,-0.433117
7.95972,-0.433104
7.95973,-0.43309
7.95973,-0.433077
7.95974,-0.433064
7.95975,-0.433051
7.95975,-0.433038
7.95976,-0.433025
7.95976,-0.433013
7.95977,-0.433
7.95978,-0.432988
7.95978,-0.432976
7.95979,-0.432965
7.95979,-0.432953
7.9598,-0.432942
7.9598,-0.432931
7.95981,-0.43292
7.95981,-0.432909
7.95982,-0.432899
7.95982,-0.432888
7.95983,-0.432878
7.95983,-0.432868
7.95983,-0.432858
7.95984,-0.432849
7.95984,-0.432839
7.95985,-0.43283
7.95985,-0.432821
7.95985,-0.432812
7.95986,-0.432803
7.95986,-0.432794
7.95986,-0.432786
7.95987,-0.432777
7.95987,-0.432769
7.95987,-0.432761
7.95988,-0.432753
7.95988,-0.432746
7.95988,-0.432738
7.95989,-0.432731
7.95989,-0.432723
7.95989,-0.432716
7.9599,-0.432709
7.9599,-0.432702
7.9599,-0.432696
7.9599,-0.432689
7.95991,-0.432683
7.95991,-0.432676
7.95991,-0.43267
7.95991,-0.432664
7.95992,-0.432658
7.95992,-0.432651
7.95992,-0.432645
7.95992,-0.432638
7.95993,-0.432631
7.95993,-0.432624
7.95993,-0.432617
7.95993,-0.432609
7.95994,-0.432601
7.95994,-0.432593
7.95994,-0.432585
7.95995,-0.432577
7.95995,-0.432568
7.95995,-0.43256
7.95996,-0.432551
7.95996,-0.432541
7.95996,-0.432532
7.95997,-0.432522
7.95997,-0.432512
7.95997,-0.432501
7.95998,-0.432491
7.95998,-0.43248
7.95999,-0.432469
7.95999,-0.432457
7.96,-0.432445
7.96,-0.432433
7.96,-0.432432
7.96,-0.43242
7.96001,-0.432408
7.96001,-0.432394
7.96002,-0.432381
7.96002,-0.432367
7.96003,-0.432352
7.96003,-0.432337
