C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
15.9001,-0.687911
15.9001,-0.687825
15.9001,-0.687931
15.9001,-0.687946
15.9001,-0.68796
15.9001,-0.687975
15.9001,-0.68799
15.9001,-0.688005
15.9001,-0.68802
15.9001,-0.688036
15.9001,-0.688052
15.9001,-0.688069
15.9001,-0.688086
15.9001,-0.688103
15.9002,-0.68812
15.9002,-0.688138
15.9002,-0.688156
15.9002,-0.688174
15.9002,-0.688193
15.9002,-0.688212
15.9002,-0.688231
15.9002,-0.688251
15.9002,-0.688271
15.9002,-0.688291
15.9002,-0.688312
15.9003,-0.688333
15.9003,-0.688354
15.9003,-0.688376
15.9003,-0.688398
15.9003,-0.688421
15.9003,-0.688443
15.9003,-0.688466
15.9003,-0.68849
15.9004,-0.688514
15.9004,-0.688538
15.9004,-0.688562
15.9004,-0.688587
15.9004,-0.688612
15.9004,-0.688637
15.9004,-0.688663
15.9005,-0.688689
15.9005,-0.688716
15.9005,-0.688742
15.9005,-0.688769
15.9005,-0.688796
15.9005,-0.688824
15.9006,-0.688852
15.9006,-0.68888
15.9006,-0.688908
15.9006,-0.688937
15.9006,-0.688965
15.9006,-0.688994
15.9007,-0.689023
15.9007,-0.689052
15.9007,-0.689082
15.9007,-0.689111
15.9008,-0.689141
15.9008,-0.68917
15.9008,-0.6892
15.9008,-0.68923
15.9008,-0.689259
15.9009,-0.689289
15.9009,-0.689318
15.9009,-0.689347
15.901,-0.689376
15.901,-0.689405
15.901,-0.689434
15.901,-0.689462
15.9011,-0.689489
15.9011,-0.689517
15.9011,-0.689544
15.9012,-0.68957
15.9012,-0.689595
15.9012,-0.68962
15.9013,-0.689644
15.9013,-0.689667
15.9013,-0.689689
15.9014,-0.68971
15.9014,-0.68973
15.9014,-0.689748
15.9015,-0.689765
15.9015,-0.689781
15.9016,-0.689794
15.9016,-0.689806
15.9016,-0.689817
15.9017,-0.689825
15.9017,-0.68983
15.9018,-0.689834
15.9018,-0.689834
15.9019,-0.689832
15.9019,-0.689827
15.902,-0.689819
15.902,-0.689807
15.9021,-0.689792
15.9021,-0.689773
15.9022,-0.68975
15.9022,-0.689722
15.9023,-0.68969
15.9024,-0.689652
15.9024,-0.68961
15.9025,-0.689561
15.9025,-0.689507
15.9026,-0.689446
15.9027,-0.689379
15.9027,-0.689305
15.9028,-0.689223
15.9029,-0.689133
15.903,-0.689035
15.903,-0.688927
15.9031,-0.688811
15.9032,-0.688684
