C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.426,-0.90495
14.4262,-0.905304
14.4264,-0.905659
14.4266,-0.906016
14.4268,-0.906374
14.427,-0.906734
14.4272,-0.907096
14.4274,-0.90746
14.4276,-0.907826
14.4278,-0.908193
14.428,-0.908562
14.4282,-0.908933
14.4284,-0.909306
14.4286,-0.90968
14.4288,-0.910057
14.429,-0.910435
14.4292,-0.910815
14.4294,-0.911197
14.4296,-0.911581
14.4298,-0.911967
14.43,-0.912354
14.4302,-0.912744
14.4304,-0.913136
14.4306,-0.913529
14.4308,-0.913924
14.431,-0.914322
14.4312,-0.914721
14.4314,-0.915123
14.4316,-0.915526
14.4318,-0.915931
14.432,-0.916339
14.4322,-0.916748
14.4324,-0.91716
14.4326,-0.917573
14.4328,-0.917989
14.433,-0.918407
14.4332,-0.918827
14.4334,-0.919249
14.4336,-0.919673
14.4338,-0.920099
14.434,-0.920527
14.4342,-0.920958
14.4344,-0.92139
14.4346,-0.921825
14.4348,-0.922262
14.435,-0.922702
14.4352,-0.923143
14.4354,-0.923587
14.4356,-0.924033
14.4358,-0.924482
14.436,-0.924932
14.4362,-0.925385
14.4364,-0.925841
14.4366,-0.926298
14.4368,-0.926758
14.437,-0.92722
14.4372,-0.927685
14.4374,-0.928152
14.4376,-0.928622
14.4378,-0.929094
14.438,-0.929568
14.4382,-0.930045
14.4384,-0.930524
14.4386,-0.931006
14.4388,-0.93149
14.439,-0.931977
14.4392,-0.932466
14.4394,-0.932958
14.4396,-0.933453
14.4398,-0.93395
14.44,-0.934449
14.4402,-0.934952
14.4404,-0.935457
14.4406,-0.935964
14.4408,-0.936474
14.441,-0.936987
14.4412,-0.937503
14.4414,-0.938021
14.4416,-0.938542
14.4418,-0.939066
14.442,-0.939593
14.4422,-0.940122
14.4424,-0.940654
14.4426,-0.941189
14.4428,-0.941727
14.443,-0.942268
14.4432,-0.942811
14.4434,-0.943358
14.4436,-0.943907
14.4438,-0.94446
14.444,-0.945015
14.4442,-0.945573
14.4444,-0.946135
14.4446,-0.946699
14.4448,-0.947266
14.445,-0.947837
14.4452,-0.94841
14.4454,-0.948987
14.4456,-0.949566
14.4458,-0.950149
14.446,-0.950735
14.4462,-0.951325
14.4464,-0.951917
14.4466,-0.952513
14.4468,-0.953112
14.447,-0.953714
14.4472,-0.954319
14.4474,-0.954928
14.4476,-0.95554
14.4478,-0.956156
14.448,-0.956774
14.4482,-0.957397
14.4484,-0.958022
14.4486,-0.958652
14.4488,-0.959284
14.449,-0.95992
14.4492,-0.96056
14.4494,-0.961203
14.4496,-0.96185
14.4498,-0.9625
14.45,-0.963154
14.4502,-0.963812
14.4504,-0.964473
14.4506,-0.965138
14.4508,-0.965807
14.451,-0.96648
14.4512,-0.967156
14.4514,-0.967836
14.4516,-0.96852
14.4518,-0.969207
14.452,-0.969899
14.4522,-0.970595
14.4524,-0.971294
14.4526,-0.971997
14.4528,-0.972705
14.453,-0.973416
14.4532,-0.974132
14.4534,-0.974851
14.4536,-0.975575
14.4538,-0.976303
14.454,-0.977035
14.4542,-0.977771
14.4544,-0.978511
14.4546,-0.979256
14.4548,-0.980005
14.455,-0.980758
14.4552,-0.981516
14.4554,-0.982278
14.4556,-0.983044
14.4558,-0.983815
14.456,-0.98459
14.4562,-0.98537
14.4564,-0.986154
14.4566,-0.986943
14.4568,-0.987736
14.457,-0.988534
14.4572,-0.989337
14.4574,-0.990144
14.4576,-0.990956
14.4578,-0.991773
14.458,-0.992595
14.4582,-0.993421
14.4584,-0.994253
14.4586,-0.995089
14.4588,-0.99593
14.459,-0.996777
14.4592,-0.997628
14.4594,-0.998484
14.4596,-0.999345
14.4598,-1.00021
14.46,-1.00108
14.4602,-1.00196
14.4604,-1.00284
14.4606,-1.00373
14.4608,-1.00462
14.461,-1.00552
14.4612,-1.00642
14.4614,-1.00733
14.4616,-1.00825
14.4618,-1.00917
14.462,-1.01009
14.4622,-1.01102
14.4624,-1.01196
14.4626,-1.0129
14.4628,-1.01385
14.463,-1.0148
14.4632,-1.01576
14.4634,-1.01673
14.4636,-1.0177
14.4638,-1.01868
14.464,-1.01966
14.4642,-1.02065
14.4644,-1.02164
14.4646,-1.02265
14.4648,-1.02365
14.465,-1.02467
14.4652,-1.02569
14.4654,-1.02671
14.4656,-1.02775
14.4658,-1.02878
14.466,-1.02983
14.4662,-1.03088
14.4664,-1.03194
14.4666,-1.033
14.4668,-1.03408
14.467,-1.03515
14.4672,-1.03624
14.4674,-1.03733
14.4676,-1.03843
14.4678,-1.03954
14.468,-1.04065
14.4682,-1.04177
14.4684,-1.04289
14.4686,-1.04403
14.4688,-1.04517
14.469,-1.04632
14.4692,-1.04747
14.4694,-1.04863
14.4696,-1.0498
14.4698,-1.05098
14.47,-1.05217
14.4702,-1.05336
14.4704,-1.05456
14.4706,-1.05576
14.4708,-1.05698
14.471,-1.0582
14.4712,-1.05943
14.4714,-1.06067
14.4716,-1.06192
14.4718,-1.06317
14.4719,-1.06352
14.472,-1.06444
14.4722,-1.06571
14.4724,-1.06699
14.4726,-1.06827
14.4728,-1.06957
14.473,-1.07087
14.4732,-1.07218
14.4733,-1.07269
14.4734,-1.07351
14.4736,-1.07484
14.4738,-1.07617
14.474,-1.07752
14.4742,-1.07888
14.4744,-1.08024
14.4746,-1.08161
14.4747,-1.08207
14.4748,-1.08299
14.475,-1.08439
14.4752,-1.08579
14.4754,-1.0872
14.4756,-1.08861
14.4758,-1.09004
14.476,-1.09148
14.476,-1.09165
14.4762,-1.09293
14.4764,-1.09438
14.4766,-1.09585
14.4768,-1.09732
14.477,-1.09881
14.4772,-1.1003
14.4774,-1.10143
14.4774,-1.10181
14.4776,-1.10332
14.4778,-1.10485
14.478,-1.10638
14.4782,-1.10793
14.4784,-1.10948
14.4786,-1.11105
14.4786,-1.11141
14.4788,-1.11262
14.479,-1.11421
14.4792,-1.11581
14.4794,-1.11742
14.4796,-1.11903
14.4798,-1.12066
14.4799,-1.12158
14.48,-1.1223
14.4802,-1.12395
14.4804,-1.12562
14.4806,-1.12729
14.4808,-1.12897
14.481,-1.13067
14.4811,-1.13194
14.4812,-1.13237
14.4814,-1.13409
14.4816,-1.13582
14.4818,-1.13756
14.482,-1.13932
14.4822,-1.14108
14.4824,-1.14249
14.4824,-1.14286
14.4826,-1.14465
14.4828,-1.14645
14.483,-1.14826
14.4832,-1.15008
14.4834,-1.15192
14.4835,-1.15321
14.4836,-1.15377
14.4838,-1.15563
14.484,-1.15751
14.4842,-1.15939
14.4844,-1.16129
14.4846,-1.16321
14.4847,-1.16411
14.4848,-1.16513
14.485,-1.16707
14.4852,-1.16902
14.4854,-1.17099
14.4856,-1.17296
14.4858,-1.17495
14.4858,-1.17517
14.486,-1.17696
14.4862,-1.17898
14.4864,-1.18101
14.4866,-1.18305
14.4868,-1.18511
14.4869,-1.18639
14.487,-1.18718
14.4872,-1.18927
14.4874,-1.19137
14.4876,-1.19348
14.4878,-1.19561
14.488,-1.19775
14.488,-1.19776
14.4882,-1.19991
14.4884,-1.20209
14.4886,-1.20427
14.4888,-1.20647
14.489,-1.20869
14.4891,-1.20926
14.4892,-1.21092
14.4894,-1.21316
14.4896,-1.21542
14.4898,-1.2177
14.49,-1.21999
14.4901,-1.22091
14.4902,-1.2223
14.4904,-1.22462
14.4906,-1.22695
14.4908,-1.2293
14.491,-1.23167
14.4911,-1.23267
14.4912,-1.23405
14.4914,-1.23645
14.4916,-1.23887
14.4918,-1.2413
14.492,-1.24374
14.4921,-1.24454
14.4922,-1.2462
14.4924,-1.24868
14.4926,-1.25118
14.4928,-1.25369
14.493,-1.25621
14.493,-1.25652
14.4932,-1.25876
14.4934,-1.26132
14.4936,-1.26389
14.4938,-1.26649
14.494,-1.26858
14.494,-1.2691
14.4942,-1.27172
14.4944,-1.27436
14.4946,-1.27702
14.4948,-1.2797
14.4949,-1.28072
14.495,-1.28239
14.4952,-1.2851
14.4954,-1.28783
14.4956,-1.29057
14.4958,-1.29293
14.4958,-1.29334
14.496,-1.29611
14.4962,-1.29891
14.4964,-1.30172
14.4966,-1.30455
14.4966,-1.30518
14.4968,-1.3074
14.497,-1.31027
14.4972,-1.31315
14.4974,-1.31605
14.4975,-1.31748
14.4976,-1.31896
14.4978,-1.3219
14.498,-1.32485
14.4982,-1.32782
14.4983,-1.32979
14.4984,-1.33081
14.4986,-1.33381
14.4988,-1.33683
14.499,-1.33987
14.4991,-1.34212
14.4992,-1.34293
14.4994,-1.346
14.4996,-1.34909
14.4998,-1.3522
14.4999,-1.35445
14.5,-1.35533
14.5002,-1.35847
14.5004,-1.36163
14.5006,-1.36481
14.5007,-1.36676
14.5008,-1.368
14.501,-1.37121
14.5012,-1.37444
14.5014,-1.37769
14.5015,-1.37903
14.5016,-1.38095
14.5018,-1.38423
14.502,-1.38752
14.5022,-1.39084
14.5022,-1.39126
14.5024,-1.39417
14.5026,-1.39751
14.5028,-1.40087
14.503,-1.40343
14.503,-1.40425
14.5032,-1.40764
14.5034,-1.41105
14.5036,-1.41448
14.5037,-1.41552
14.5038,-1.41792
14.504,-1.42137
14.5042,-1.42484
14.5044,-1.42753
14.5044,-1.42833
14.5046,-1.43183
14.5048,-1.43534
14.505,-1.43887
14.505,-1.43943
14.5052,-1.44242
14.5054,-1.44597
14.5056,-1.44955
14.5057,-1.45121
14.5058,-1.45313
14.506,-1.45673
14.5062,-1.46034
14.5063,-1.46286
14.5064,-1.46396
14.5066,-1.46759
14.5068,-1.47124
14.507,-1.47437
14.507,-1.4749
14.5072,-1.47857
14.5074,-1.48225
14.5076,-1.48572
14.5076,-1.48594
14.5078,-1.48964
14.508,-1.49335
14.5082,-1.4969
14.5082,-1.49706
14.5084,-1.50079
14.5086,-1.50453
14.5088,-1.50791
14.5088,-1.50827
14.509,-1.51202
14.5092,-1.51578
14.5094,-1.51872
14.5094,-1.51954
14.5096,-1.52331
14.5098,-1.52709
14.5099,-1.52933
14.51,-1.53086
14.5102,-1.53465
14.5104,-1.53843
14.5105,-1.53973
14.5106,-1.54222
14.5108,-1.54601
14.511,-1.54981
14.511,-1.54991
14.5112,-1.5536
14.5114,-1.5574
14.5115,-1.55987
14.5116,-1.56119
14.5118,-1.56498
14.512,-1.56877
14.512,-1.56959
14.5122,-1.57256
14.5124,-1.57634
14.5125,-1.57907
14.5126,-1.58012
14.5128,-1.5839
14.513,-1.58766
14.513,-1.5883
14.5132,-1.59142
14.5134,-1.59518
14.5135,-1.59727
14.5136,-1.59892
14.5138,-1.60266
14.514,-1.60599
14.514,-1.60638
14.5142,-1.61009
14.5144,-1.61379
14.5144,-1.61445
14.5146,-1.61748
14.5148,-1.62115
14.5149,-1.62265
14.515,-1.6248
14.5152,-1.62844
14.5153,-1.63058
14.5154,-1.63206
14.5156,-1.63566
14.5157,-1.63824
14.5158,-1.63924
14.516,-1.6428
14.5162,-1.64564
14.5162,-1.64634
14.5164,-1.64986
14.5166,-1.65277
14.5166,-1.65334
14.5168,-1.65681
14.517,-1.65963
14.517,-1.66024
14.5172,-1.66365
14.5174,-1.66622
14.5174,-1.66702
14.5176,-1.67037
14.5177,-1.67256
14.5178,-1.67368
14.518,-1.67696
14.5181,-1.67863
14.5182,-1.6802
14.5184,-1.68341
14.5185,-1.68444
14.5186,-1.68658
14.5188,-1.68971
14.5188,-1.68999
14.519,-1.69279
14.5192,-1.6953
14.5192,-1.69584
14.5194,-1.69884
