C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF.son DE_EMBEDDED Lk=1.0
FREQUENCY (GHz), DB[Z33]-Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF
4.08,44.7264
4.1,44.6718
4.12,44.6174
4.14,44.5631
4.16,44.5089
4.18,44.4548
4.2,44.4009
4.22,44.3471
4.24,44.2934
4.26,44.2398
4.28,44.1863
4.3,44.133
4.32,44.0797
4.34,44.0266
4.36,43.9735
4.38,43.9206
4.4,43.8678
4.42,43.815
4.44,43.7624
4.46,43.7098
4.48,43.6574
4.5,43.605
4.52,43.5527
4.54,43.5005
4.56,43.4484
4.58,43.3964
4.6,43.3444
4.62,43.2925
4.64,43.2407
4.66,43.189
4.68,43.1374
4.7,43.0858
4.72,43.0343
4.74,42.9829
4.76,42.9315
4.78,42.8802
4.8,42.8289
4.82,42.7778
4.84,42.7266
4.86,42.6756
4.88,42.6246
4.9,42.5736
4.92,42.5227
4.94,42.4719
4.96,42.4211
4.98,42.3703
5,42.3196
5.02,42.269
5.04,42.2184
5.06,42.1678
5.08,42.1173
5.1,42.0668
5.12,42.0163
5.14,41.9659
5.16,41.9155
5.18,41.8651
5.2,41.8148
5.22,41.7645
5.24,41.7143
5.26,41.664
5.28,41.6138
5.3,41.5636
5.32,41.5135
5.34,41.4633
5.36,41.4132
5.38,41.3631
5.4,41.313
5.42,41.2629
5.44,41.2128
5.46,41.1628
5.48,41.1127
5.5,41.0627
5.52,41.0127
5.54,40.9626
5.56,40.9126
5.58,40.8626
5.6,40.8126
5.62,40.7626
5.64,40.7126
5.66,40.6625
5.68,40.6125
5.7,40.5625
5.72,40.5124
5.74,40.4624
5.76,40.4123
5.78,40.3623
5.8,40.3122
5.82,40.2621
5.84,40.212
5.86,40.1619
5.88,40.1117
5.9,40.0616
5.92,40.0114
5.94,39.9612
5.96,39.9109
5.98,39.8607
6,39.8104
6.02,39.7601
6.04,39.7097
6.06,39.6594
6.08,39.6089
6.1,39.5585
6.12,39.508
6.14,39.4575
6.16,39.4069
6.18,39.3563
6.2,39.3057
6.22,39.255
6.24,39.2043
6.26,39.1535
6.28,39.1027
6.3,39.0518
6.32,39.0009
6.34,38.9499
6.36,38.8989
6.38,38.8478
6.4,38.7967
6.42,38.7455
6.44,38.6942
6.46,38.6429
6.48,38.5915
6.5,38.54
6.52,38.4885
6.54,38.4369
6.56,38.3853
6.58,38.3335
6.6,38.2817
6.62,38.2299
6.64,38.1779
6.66,38.1259
6.68,38.0738
6.7,38.0216
6.72,37.9693
6.74,37.917
6.76,37.8645
6.78,37.812
6.8,37.7593
6.82,37.7066
6.84,37.6538
6.86,37.6009
6.88,37.5479
6.9,37.4948
6.92,37.4416
6.94,37.3883
6.96,37.3349
6.98,37.2814
7,37.2278
7.02,37.174
7.04,37.1202
7.06,37.0662
7.08,37.0121
7.1,36.9579
7.12,36.9036
7.14,36.8492
7.16,36.7946
7.18,36.74
7.2,36.6851
7.22,36.6302
7.24,36.5751
7.26,36.5199
7.28,36.4646
7.3,36.4091
7.32,36.3534
7.34,36.2977
7.36,36.2418
7.38,36.1857
7.4,36.1295
7.42,36.0731
7.44,36.0166
7.46,35.9599
7.48,35.9031
7.5,35.8461
7.52,35.7889
7.54,35.7316
7.56,35.6741
7.58,35.6164
7.6,35.5586
7.62,35.5005
7.64,35.4423
7.66,35.3839
7.68,35.3254
7.7,35.2666
7.72,35.2076
7.74,35.1485
7.76,35.0892
7.78,35.0296
7.8,34.9699
7.82,34.9099
7.84,34.8497
7.86,34.7894
7.88,34.7288
7.9,34.668
7.92,34.6069
7.94,34.5457
7.96,34.4842
7.98,34.4225
8,34.3606
8.02,34.2984
8.04,34.2359
8.06,34.1733
8.08,34.1103
8.1,34.0472
8.12,33.9837
8.14,33.92
8.16,33.8561
8.18,33.7918
8.2,33.7273
8.22,33.6626
8.24,33.5975
8.26,33.5322
8.28,33.4665
8.3,33.4006
8.32,33.3344
8.34,33.2679
8.36,33.201
8.38,33.1339
8.4,33.0664
8.42,32.9986
8.44,32.9305
8.46,32.8621
8.48,32.7933
8.5,32.7242
8.52,32.6547
8.54,32.5849
8.56,32.5147
8.58,32.4442
8.6,32.3733
8.62,32.302
8.64,32.2303
8.66,32.1582
8.68,32.0858
8.7,32.0129
8.72,31.9397
8.74,31.866
8.76,31.7919
8.78,31.7174
8.8,31.6424
8.82,31.567
8.84,31.4912
8.86,31.4148
8.88,31.3381
8.9,31.2608
8.92,31.1831
8.94,31.1049
8.96,31.0262
8.98,30.947
9,30.8672
9.02,30.787
9.04,30.7062
9.06,30.6249
9.08,30.543
9.1,30.4605
9.12,30.3775
9.14,30.2939
9.16,30.2097
9.18,30.1249
9.2,30.0395
9.22,29.9535
9.24,29.8668
9.26,29.7795
9.28,29.6915
9.3,29.6028
9.32,29.5134
9.34,29.4234
9.36,29.3326
9.38,29.2411
9.4,29.1488
9.42,29.0558
9.44,28.962
9.46,28.8674
9.48,28.772
9.5,28.6757
9.52,28.5787
9.54,28.4807
9.56,28.3819
9.58,28.2822
9.6,28.1815
9.62,28.08
9.64,27.9774
9.66,27.8739
9.68,27.7694
9.7,27.6638
9.72,27.5572
9.74,27.4495
9.76,27.3407
9.78,27.2308
9.8,27.1197
9.82,27.0075
9.84,26.894
9.86,26.7793
9.88,26.6633
9.9,26.546
9.92,26.4273
9.94,26.3073
9.96,26.1859
9.98,26.063
10,25.9386
10.02,25.8127
10.04,25.6852
10.06,25.556
10.08,25.4252
10.1,25.2927
10.12,25.1585
10.14,25.0224
10.16,24.8844
10.18,24.7445
10.2,24.6026
10.22,24.4587
10.24,24.3126
10.26,24.1643
10.28,24.0138
10.3,23.8609
10.32,23.7056
10.34,23.5478
10.36,23.3874
10.38,23.2243
10.4,23.0585
10.42,22.8897
10.44,22.7179
10.46,22.543
10.48,22.3649
10.5,22.1834
10.52,21.9984
10.54,21.8097
10.56,21.6173
10.58,21.4208
10.6,21.2202
10.62,21.0152
10.64,20.8057
10.66,20.5914
10.68,20.3721
10.7,20.1476
10.72,19.9175
10.74,19.6816
10.76,19.4396
10.78,19.1911
10.8,18.9358
10.82,18.6732
10.84,18.403
10.86,18.1246
10.88,17.8375
10.9,17.5411
10.92,17.2348
10.94,16.918
10.96,16.5897
10.98,16.2491
11,15.8954
11.02,15.5272
11.04,15.1435
11.06,14.7428
11.08,14.3235
11.1,13.8838
11.12,13.4215
11.14,12.9341
11.16,12.4187
11.18,11.872
11.2,11.2896
11.22,10.6667
11.24,9.99716
11.26,9.27332
11.28,8.4856
11.3,7.62163
11.32,6.66512
11.34,5.59404
11.36,4.37769
11.38,2.97158
11.4,1.30845
11.42,-0.718409
11.44,-3.28377
11.46,-6.63861
11.48,-10.5056
11.5,-10.6849
11.52,-6.87265
11.54,-3.48144
11.56,-0.892477
11.58,1.14555
11.6,2.81219
11.62,4.21709
11.64,5.42919
11.66,6.49395
11.68,7.44269
11.7,8.29784
11.72,9.07593
11.74,9.78953
11.76,10.4484
11.78,11.0602
11.8,11.6311
11.82,12.1662
11.84,12.6697
11.86,13.145
11.88,13.5951
11.9,14.0225
11.92,14.4293
11.94,14.8175
11.96,15.1885
11.98,15.5439
12,15.8849
12.02,16.2126
12.04,16.5279
12.06,16.8318
12.08,17.1251
12.1,17.4084
12.12,17.6824
12.14,17.9477
12.16,18.2048
12.18,18.4542
12.2,18.6963
12.22,18.9315
12.24,19.1602
12.26,19.3828
12.28,19.5996
12.3,19.8108
12.32,20.0167
12.34,20.2176
12.36,20.4137
12.38,20.6053
12.4,20.7924
12.42,20.9755
12.44,21.1545
12.46,21.3296
12.48,21.5011
12.5,21.6691
12.52,21.8337
12.54,21.995
12.56,22.1532
12.58,22.3084
12.6,22.4607
12.62,22.6102
12.64,22.7569
12.66,22.9011
12.68,23.0427
12.7,23.1819
12.72,23.3188
12.74,23.4534
12.76,23.5857
12.78,23.716
12.8,23.8441
12.82,23.9703
12.84,24.0945
12.86,24.2168
12.88,24.3373
12.9,24.456
12.92,24.5729
12.94,24.6882
12.96,24.8019
12.98,24.9139
13,25.0244
13.02,25.1334
13.04,25.241
13.06,25.3471
13.08,25.4518
13.1,25.5551
13.12,25.6572
13.14,25.7579
13.16,25.8574
13.18,25.9556
13.2,26.0527
13.22,26.1486
13.24,26.2433
13.26,26.3369
13.28,26.4294
13.3,26.5209
13.32,26.6113
13.34,26.7007
13.36,26.7891
13.38,26.8765
13.4,26.9629
13.42,27.0485
13.44,27.1331
13.46,27.2168
13.48,27.2996
13.5,27.3815
13.52,27.4627
13.54,27.543
13.56,27.6224
13.58,27.7011
13.6,27.779
13.62,27.8562
13.64,27.9325
13.66,28.0082
13.68,28.0831
13.7,28.1573
13.72,28.2309
13.74,28.3037
13.76,28.3759
13.78,28.4474
13.8,28.5183
13.82,28.5885
13.84,28.6581
13.86,28.7271
13.88,28.7954
13.9,28.8632
13.92,28.9304
