C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT
18.325,-0.355855
18.35,-0.361783
18.375,-0.367789
18.4,-0.373871
18.425,-0.380027
18.45,-0.386258
18.475,-0.39256
18.5,-0.398935
18.525,-0.40538
18.55,-0.411894
18.575,-0.418479
18.6,-0.425132
18.625,-0.431852
18.65,-0.438636
18.675,-0.445474
18.7,-0.452367
18.725,-0.459313
18.75,-0.466311
18.775,-0.473358
18.8,-0.480455
18.825,-0.487598
18.85,-0.494789
18.875,-0.502024
18.9,-0.509303
18.925,-0.516625
18.95,-0.523988
18.975,-0.531392
19,-0.538836
19.025,-0.546317
19.05,-0.553836
19.075,-0.561391
19.1,-0.568981
19.125,-0.576605
19.15,-0.584262
19.175,-0.591951
19.2,-0.599671
19.225,-0.607421
19.25,-0.6152
19.275,-0.623006
19.3,-0.63084
19.325,-0.6387
19.35,-0.646584
19.375,-0.654493
19.4,-0.662425
19.425,-0.670379
19.45,-0.678353
19.475,-0.686349
19.5,-0.694363
19.525,-0.702395
19.55,-0.710445
19.575,-0.718512
19.6,-0.726593
19.625,-0.73469
19.65,-0.7428
19.675,-0.750923
19.7,-0.759057
19.725,-0.767202
19.75,-0.775358
19.775,-0.783522
19.8,-0.791695
19.825,-0.799875
19.85,-0.808062
19.875,-0.816254
19.9,-0.82445
19.925,-0.832651
19.95,-0.840854
19.975,-0.84906
20,-0.857266
