Time,Channel A
(us),(V)

-1.38138986,-0.96163821
-1.37738986,-0.79103976
-1.37338986,-0.64836574
-1.36938986,-0.55818355
-1.36538986,-0.49714652
-1.36138986,-0.43671986
-1.35738986,-0.38880581
-1.35338986,-0.36866361
-1.34938986,-0.36317027
-1.34538986,-0.35309917
-1.34138986,-0.34073916
-1.33738986,-0.33280435
-1.33338986,-0.32502213
-1.32938986,-0.31311992
-1.32538986,-0.30121768
-1.32138986,-0.29084140
-1.31738986,-0.27878657
-1.31338986,-0.26642659
-1.30938986,-0.26078066
-1.30538986,-0.26306954
-1.30138986,-0.26612139
-1.29738986,-0.26627401
-1.29338986,-0.26703694
-1.28938986,-0.26963103
-1.28538986,-0.26993620
-1.28138986,-0.26581621
-1.27738986,-0.26017028
-1.27338986,-0.25345623
-1.26938986,-0.24353771
-1.26538986,-0.23209326
-1.26138986,-0.22476882
-1.25738986,-0.22232734
-1.25338986,-0.21958068
-1.24938986,-0.21500289
-1.24538986,-0.21225624
-1.24138986,-0.21225624
-1.23738986,-0.21134068
-1.23338986,-0.20798364
-1.22938986,-0.20523697
-1.22538986,-0.20386365
-1.22138986,-0.20096439
-1.21738986,-0.19501327
-1.21338986,-0.18845180
-1.20938986,-0.18173772
-1.20538986,-0.17303994
-1.20138986,-0.16464736
-1.19738986,-0.16144292
-1.19338986,-0.16434218
-1.18938986,-0.16800439
-1.18538987,-0.16937773
-1.18138987,-0.16953032
-1.17738987,-0.16937773
-1.17338987,-0.16708884
-1.16938987,-0.16312143
-1.16538987,-0.16052736
-1.16138987,-0.15945922
-1.15738987,-0.15732291
-1.15338987,-0.15366070
-1.14938987,-0.15121922
-1.14538987,-0.15045625
-1.14138987,-0.14877774
-1.13738987,-0.14587848
-1.13338987,-0.14435256
-1.12938987,-0.14404736
-1.12538987,-0.14282662
-1.12138987,-0.14099552
-1.11738987,-0.14175847
-1.11338987,-0.14542070
-1.10938987,-0.14847255
-1.10538987,-0.14923552
-1.10138987,-0.14923552
-1.09738987,-0.14877774
-1.09338987,-0.14633626
-1.08938987,-0.14206366
-1.08538987,-0.13824885
-1.08138987,-0.13534959
-1.07738987,-0.13107699
