C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
18.2466,-1.21971
18.2466,-1.21978
18.2467,-1.21985
18.2467,-1.21993
18.2467,-1.22
18.2468,-1.22008
18.2468,-1.22015
18.2468,-1.22023
18.2469,-1.2203
18.2469,-1.22038
18.247,-1.22045
18.247,-1.22053
18.247,-1.2206
18.2471,-1.22068
18.2471,-1.22075
18.2472,-1.22083
18.2472,-1.2209
18.2473,-1.22097
18.2473,-1.22104
18.2474,-1.22111
18.2474,-1.22118
18.2475,-1.22125
18.2475,-1.22131
18.2476,-1.22137
18.2476,-1.22144
18.2477,-1.22149
18.2478,-1.22155
18.2478,-1.2216
18.2479,-1.22165
18.248,-1.2217
18.248,-1.22174
18.2481,-1.22178
18.2482,-1.22181
18.2482,-1.22184
18.2483,-1.22186
18.2484,-1.22188
18.2484,-1.22189
18.2485,-1.2219
18.2486,-1.2219
18.2487,-1.22189
18.2488,-1.22187
18.2488,-1.22185
18.2489,-1.22181
18.249,-1.22177
18.2491,-1.22171
18.2492,-1.22164
18.2493,-1.22157
18.2494,-1.22148
18.2495,-1.22137
18.2496,-1.22125
18.2497,-1.22112
18.2498,-1.22097
18.2499,-1.22081
18.25,-1.22068
18.25,-1.22063
18.2501,-1.22043
18.2503,-1.22021
18.2504,-1.21997
18.2505,-1.2197
18.2506,-1.21942
18.2508,-1.21911
18.2509,-1.21878
18.251,-1.21842
18.2512,-1.21803
18.2513,-1.21762
18.2514,-1.21717
18.2516,-1.21669
18.2517,-1.21619
18.2519,-1.21564
18.252,-1.21533
18.2521,-1.21506
18.2522,-1.21445
18.2524,-1.21379
18.2526,-1.21309
18.2527,-1.21234
18.2529,-1.21155
18.2531,-1.21072
18.2533,-1.20983
18.2535,-1.20889
18.2537,-1.2079
18.2539,-1.20685
18.2541,-1.20574
18.2543,-1.20457
18.2545,-1.20333
18.2547,-1.20203
18.2549,-1.20066
18.2552,-1.19922
18.2554,-1.19771
18.2556,-1.19611
18.2559,-1.19444
18.2561,-1.19269
18.2564,-1.19085
18.2566,-1.18892
18.2569,-1.1869
18.2572,-1.18479
18.2575,-1.18258
18.2578,-1.18027
18.2581,-1.17787
18.2584,-1.17535
18.2587,-1.17273
18.259,-1.17
18.2593,-1.16716
18.2596,-1.16421
18.26,-1.16114
18.2603,-1.15795
18.2607,-1.15464
18.261,-1.15121
18.2614,-1.14766
18.2618,-1.14398
18.2622,-1.14018
18.2626,-1.13626
18.263,-1.13221
18.2634,-1.12804
18.2638,-1.12375
18.2643,-1.11934
18.2647,-1.11481
18.2652,-1.11017
18.2657,-1.10541
18.2661,-1.10055
18.2666,-1.09559
18.2671,-1.09054
18.2677,-1.08539
18.2682,-1.08018
18.2687,-1.07489
